total_vehicles,density,avg_bbox_area,car,truck,filename
1,0.0113,16184.46,1,0,11.png
10,0.2348,4851.71,10,0,22.png
10,0.7304,110170.56,10,0,33.png
2,0.1975,40441.91,2,0,img1.jpg
0,0.0,0,0,0,img10.jpg
0,0.0,0,0,0,img11.jpg
0,0.0,0,0,0,img12.jpg
0,0.0,0,0,0,img13.jpg
0,0.0,0,0,0,img14.jpg
1,0.3064,125495.99,0,1,img15.jpg
1,0.5495,225075.39,0,1,img16.jpg
0,0.0,0,0,0,img17.jpg
0,0.0,0,0,0,img18.jpg
0,0.0,0,0,0,img19.jpg
0,0.0,0,0,0,img2.jpeg
1,0.5059,207196.9,0,1,img20.jpg
2,0.3319,67963.72,0,2,img21.jpg
2,0.3384,69307.53,1,1,img22.jpg
2,0.2461,50403.76,0,2,img23.jpg
0,0.0,0,0,0,img24.png
0,0.0,0,0,0,img3.jpg
2,0.2341,47952.7,1,1,img4.jpg
0,0.0,0,0,0,img5.jpg
0,0.0,0,0,0,img6.jpg
0,0.0,0,0,0,img7.jpg
1,0.0148,6060.7,1,0,img8.jpg
0,0.0,0,0,0,img9.jpg
